term,strategy,n_obs,Coefficient,Odds_Ratio,Lower_CI,Upper_CI,P_Value
C(sector)[T.Real_Estate],Alt17,21,-23.005238570641236,1.0208262611229932e-10,,,
C(sector)[T.Technology],Alt17,21,70.67898498587654,4.9601312201146575e+30,,,
C(sector)[T.Utilities],Alt17,21,-123.5726276524974,2.1532264015728435e-54,,,
C(asset_type)[T.Stock],Alt17,21,140.43336208522192,9.759649672592245e+60,,,
trades,Alt17,21,-0.0026038978755718624,0.997399489325888,,,
Intercept,Alt2,21,-10.625205665193867,2.4295833938062513e-05,3.3944456061300507e-25,1738980720975190.2,0.6487369996151153
C(sector)[T.Consumer_Disc],Alt2,21,-27.476345977166133,1.1672786959024216e-12,0.0,inf,0.9999965041765004
C(sector)[T.Consumer_Staples],Alt2,21,-27.812389619729643,8.341279227434797e-13,0.0,inf,0.9999998033660912
C(sector)[T.Energy],Alt2,21,5.593635737394133,268.7108078076743,2.0448294716470669e-16,3.5311256627425516e+20,0.7927159699037637
C(sector)[T.Financials],Alt2,21,8.182466982309649,3577.6698311007585,3.015161512176754e-16,4.245119662305569e+22,0.7150013314484023
C(sector)[T.Healthcare],Alt2,21,43.5101133465461,7.874121891500695e+18,0.0,inf,0.9999985402780555
C(sector)[T.Industrials],Alt2,21,8.018683856217779,3037.1773391669253,2.933589100038236e-16,3.1444233922974497e+22,0.7196302757780606
C(sector)[T.Materials],Alt2,21,-22.033767435426835,2.696847489922446e-10,1.5733243625502166e-44,4.622687194719397e+24,0.5837937185717929
C(sector)[T.Real_Estate],Alt2,21,8.514430584613303,4986.2060284181525,3.224019642958276e-16,7.711569193486825e+22,0.7056662272318284
C(sector)[T.Technology],Alt2,21,-38.708015049394376,1.546402911243653e-17,0.0,inf,0.9999999929906822
C(sector)[T.Utilities],Alt2,21,7.701135088750283,2210.8560860349453,2.943574276123022e-16,1.6605270241713051e+22,0.728378187995603
C(asset_type)[T.Stock],Alt2,21,0.3607375064605592,1.4343868941647764,0.08164697791932368,25.19953358450914,0.805148881631665
trades,Alt2,21,0.32301449544737115,1.3812853731099448,0.8072456503090246,2.3635299629512905,0.2385415405901118
Intercept,Alt20,20,11.937288908374768,152861.70586259503,,,
C(sector)[T.Consumer_Disc],Alt20,20,-9.755234238756652,5.799033270809909e-05,,,
C(sector)[T.Consumer_Staples],Alt20,20,-13.95131797013292,8.730107475463619e-07,,,
C(sector)[T.Energy],Alt20,20,73.08478843568102,5.499463559611936e+31,,,
C(sector)[T.Financials],Alt20,20,-11.32349621640675,1.208559613635691e-05,,,
C(sector)[T.Healthcare],Alt20,20,-10.345129086702466,3.21490040270159e-05,,,
C(sector)[T.Industrials],Alt20,20,39.929135391009886,2.1928209284125933e+17,,,
C(sector)[T.Real_Estate],Alt20,20,-23.488567241590566,6.295712091943777e-11,,,
C(sector)[T.Technology],Alt20,20,-11.809158558164867,7.436140764367722e-06,,,
C(sector)[T.Utilities],Alt20,20,-20.463634253165353,1.2964523645926945e-09,,,
C(asset_type)[T.Stock],Alt20,20,21.54913156197227,2283857101.972487,,,
trades,Alt20,20,-0.6594533280822733,0.5171339598465392,,,
Intercept,Alt22,21,66.69720136755268,9.251805889064416e+28,,,
C(sector)[T.Consumer_Disc],Alt22,21,633.9045620129896,2.001028782641856e+275,,,
C(sector)[T.Consumer_Staples],Alt22,21,81.91805560698043,3.771894338019206e+35,,,
C(sector)[T.Energy],Alt22,21,31.656189681118466,55989745908388.75,,,
C(sector)[T.Financials],Alt22,21,-460.4135484793291,1.1090126549951881e-200,,,
C(sector)[T.Healthcare],Alt22,21,108.79782641232235,1.7794904185466646e+47,,,
C(sector)[T.Industrials],Alt22,21,107.81735157724444,6.675454551149959e+46,,,
C(sector)[T.Materials],Alt22,21,-79.98989158495728,1.823188096156364e-35,,,
C(sector)[T.Real_Estate],Alt22,21,-505.92944057204005,1.895115689710365e-220,,,
C(sector)[T.Technology],Alt22,21,751.0203053507008,inf,,,
C(sector)[T.Utilities],Alt22,21,-504.3271250028275,9.408329894540732e-220,,,
C(asset_type)[T.Stock],Alt22,21,-0.07566555739950986,0.9271262252205142,,,
trades,Alt22,21,-1.8550746687988156,0.15644126095778935,,,
Intercept,Alt26,21,135.31900784301595,5.86541037231179e+58,,,
C(sector)[T.Consumer_Disc],Alt26,21,137.4118941912417,4.755841750368581e+59,,,
C(sector)[T.Consumer_Staples],Alt26,21,141.90872312697087,4.2675182591677985e+61,,,
C(sector)[T.Energy],Alt26,21,-141.9546623441881,2.238068957317929e-62,,,
C(sector)[T.Financials],Alt26,21,141.41435558869713,2.603000754994843e+61,,,
C(sector)[T.Healthcare],Alt26,21,141.02931647133937,1.7711442359394435e+61,,,
C(sector)[T.Industrials],Alt26,21,141.08966997826428,1.8813306247891613e+61,,,
C(sector)[T.Materials],Alt26,21,-220.6898536817189,1.4309166397165442e-96,,,
C(sector)[T.Real_Estate],Alt26,21,-142.0010621523721,2.1365953694139754e-62,,,
C(sector)[T.Technology],Alt26,21,189.03424371974552,1.2489036597155678e+82,,,
C(sector)[T.Utilities],Alt26,21,-372.7352831970171,1.327771360612732e-162,,,
C(asset_type)[T.Stock],Alt26,21,-1.9494042743062365,0.1423588531572867,,,
trades,Alt26,21,0.15076406323283012,1.1627222967773154,,,
Intercept,Alt28,21,-2.3976259171051293,0.0909335810884312,2.4843843084562803e-11,332835630.1970171,0.8310140994681636
C(sector)[T.Consumer_Disc],Alt28,21,14.538835298134853,2061275.0346081725,0.0,inf,0.9703639301005174
C(sector)[T.Consumer_Staples],Alt28,21,1.4415751531445795,4.227349298035132,6.294063295756555e-07,28392599.895915173,0.8573611298864674
C(sector)[T.Energy],Alt28,21,-14.60744162391298,4.5296923670494724e-07,0.0,inf,0.9938796460904595
C(sector)[T.Financials],Alt28,21,1.716561424307304,5.56535861781603,2.074546767658685e-06,14930112.460108684,0.8201994488926228
C(sector)[T.Healthcare],Alt28,21,14.194926467653778,1461430.7325633853,4.787731869916886e-273,4.46094276812082e+284,0.9653926686890398
C(sector)[T.Industrials],Alt28,21,14.464140178550288,1912917.6091089642,7.939701445e-315,inf,0.9693457819680404
C(sector)[T.Materials],Alt28,21,6.933228810431967,1025.8007544523773,1.2871002352933674e-18,8.175487494920835e+23,0.777673298550955
C(sector)[T.Real_Estate],Alt28,21,-14.152232427337806,7.141074274309602e-07,0.0,inf,0.9925099647703214
C(sector)[T.Technology],Alt28,21,2.164103381784926,8.706791747928563,4.438505102950387e-05,1707967.4526318635,0.7278038753947098
C(sector)[T.Utilities],Alt28,21,-14.24392692267288,6.515400800199759e-07,0.0,inf,0.9927901763565886
C(asset_type)[T.Stock],Alt28,21,1.7890406300921005,5.983709121358774,0.18605312932422877,192.44381956422976,0.312359488238369
trades,Alt28,21,-0.001273952691104141,0.9987268584421404,0.8135746669136201,1.2260157282891533,0.9902840681260667
Intercept,Alt39,20,-300.34170036515235,3.6581107187235614e-131,,,
C(sector)[T.Consumer_Staples],Alt39,20,193.49977411868332,1.086135851535871e+84,,,
C(sector)[T.Energy],Alt39,20,-234.41787757798812,1.561742066350447e-102,,,
C(sector)[T.Financials],Alt39,20,167.56522371691963,5.9245043016251125e+72,,,
C(sector)[T.Healthcare],Alt39,20,180.90760818073505,3.6912713101036125e+78,,,
C(sector)[T.Industrials],Alt39,20,182.29638953567996,1.480185161615755e+79,,,
C(sector)[T.Materials],Alt39,20,-389.3496127293832,8.083727412626828e-170,,,
C(sector)[T.Real_Estate],Alt39,20,-67.62214883480438,4.2862145538106125e-30,,,
C(sector)[T.Technology],Alt39,20,213.75422413347158,6.796417111928898e+92,,,
C(sector)[T.Utilities],Alt39,20,-684.6486939087388,4.579838811388703e-298,,,
C(asset_type)[T.Stock],Alt39,20,-140.33516689242686,1.1303459996195755e-61,,,
trades,Alt39,20,10.832152404627722,50622.549820375454,,,
Intercept,Alt42,21,112.43644264812833,6.76903261912924e+48,,,
C(sector)[T.Consumer_Disc],Alt42,21,-38.967204534995886,1.1933232308051098e-17,,,
C(sector)[T.Consumer_Staples],Alt42,21,-40.390877156761746,2.8738555261403925e-18,,,
C(sector)[T.Energy],Alt42,21,-237.76655421778338,5.486527016408109e-104,,,
C(sector)[T.Financials],Alt42,21,160.59147452501816,5.546145092109516e+69,,,
C(sector)[T.Healthcare],Alt42,21,163.6367618650259,1.1655816845463487e+71,,,
C(sector)[T.Industrials],Alt42,21,162.0560704416781,2.399148618424638e+70,,,
C(sector)[T.Materials],Alt42,21,74.94068936359766,3.518259432066741e+32,,,
C(sector)[T.Real_Estate],Alt42,21,-247.67196157035994,2.7380020429067187e-108,,,
C(sector)[T.Technology],Alt42,21,221.27108028593778,1.2497097926873159e+96,,,
C(sector)[T.Utilities],Alt42,21,-252.74139025440127,1.7211109353016856e-110,,,
C(asset_type)[T.Stock],Alt42,21,168.18207159702325,1.0978566823310585e+73,,,
trades,Alt42,21,-3.3699235370015908,0.03439226697879182,,,
Intercept,Alt43,21,-276.4718109783756,8.50781602981227e-121,,,
C(sector)[T.Consumer_Disc],Alt43,21,99.73622907777894,2.0648757993996035e+43,,,
C(sector)[T.Consumer_Staples],Alt43,21,176.46884061351506,4.359570511480058e+76,,,
C(sector)[T.Energy],Alt43,21,-205.98083802116238,3.4967023837662542e-90,,,
C(sector)[T.Financials],Alt43,21,149.1832881893812,6.158555404349902e+64,,,
C(sector)[T.Healthcare],Alt43,21,161.3694265042927,1.2074008540297203e+70,,,
C(sector)[T.Industrials],Alt43,21,162.90803451300945,5.624195993729292e+70,,,
C(sector)[T.Materials],Alt43,21,-345.28313124240475,1.1103027287033025e-150,,,
C(sector)[T.Real_Estate],Alt43,21,-76.62785082269276,5.2595335236738466e-34,,,
C(sector)[T.Technology],Alt43,21,181.27619375864148,5.336427945644139e+78,,,
C(sector)[T.Utilities],Alt43,21,-631.2957239380547,6.788137715905615e-275,,,
C(asset_type)[T.Stock],Alt43,21,-162.9668589449353,1.6764570330590015e-71,,,
trades,Alt43,21,10.694796973825694,44125.66980449666,,,
Intercept,Alt44,21,-0.08054538321714821,0.9226130314860668,1.3740825780770995e-06,619478.6393836001,0.9906123351958922
C(sector)[T.Consumer_Disc],Alt44,21,5.994954300504994,401.3983398703354,4.276473034337432e-57,3.7676053597663265e+61,0.9310447745738095
C(sector)[T.Consumer_Staples],Alt44,21,-3.9903516012725038,0.01849321074015904,3.081189942035617e-07,1109.9570293092304,0.4771845520468956
C(sector)[T.Energy],Alt44,21,-8.100717504413321,0.0003033214255218797,1.7199636167429404e-11,5349.176359605272,0.34132197900655403
C(sector)[T.Financials],Alt44,21,-4.259436061657937,0.014130268764026321,3.345131849834833e-07,596.8807936628167,0.4331592823052296
C(sector)[T.Healthcare],Alt44,21,5.8404870602486305,343.94682269971463,5.361567635514353e-76,2.2064333584384142e+80,0.9490544415948163
C(sector)[T.Industrials],Alt44,21,5.312404501023488,202.83736514512185,3.928377836704593e-49,1.0473278897614809e+53,0.9289490866929598
C(sector)[T.Materials],Alt44,21,4.156736906387535,63.862791962814036,6.115582628492714e-64,6.668957718409175e+66,0.9566018041055764
C(sector)[T.Real_Estate],Alt44,21,-6.848422624108724,0.0010611281714923999,4.0024975923219276e-10,2813.2259179738676,0.36413265378613546
C(sector)[T.Technology],Alt44,21,-4.684908537022432,0.009233579104249634,1.6715014511459666e-07,510.0742390380976,0.40040015968352183
C(sector)[T.Utilities],Alt44,21,-6.906210124882578,0.0010015463484652355,1.5649099298370588e-10,6409.922187844313,0.3877464506769135
C(asset_type)[T.Stock],Alt44,21,1.781360297097463,5.937928273881703,0.17861070879463195,197.40693278533942,0.3190407049874727
trades,Alt44,21,0.07590731176866411,1.0788625716592066,0.8768443838273696,1.3274241929298487,0.47302360158244494
Intercept,Alt45,21,-403.0159469803314,9.384218417670328e-176,,,
C(sector)[T.Consumer_Disc],Alt45,21,152.73660070000585,2.1511112356316767e+66,,,
C(sector)[T.Consumer_Staples],Alt45,21,246.74525319705785,1.4457789566944828e+107,,,
C(sector)[T.Energy],Alt45,21,-307.6894814463317,2.355895747141726e-134,,,
C(sector)[T.Financials],Alt45,21,209.57683270624224,1.042466191327956e+91,,,
C(sector)[T.Healthcare],Alt45,21,228.3817677225078,1.530881198124259e+99,,,
C(sector)[T.Industrials],Alt45,21,230.22092233481172,9.631106575525858e+99,,,
C(sector)[T.Materials],Alt45,21,-505.0852222964044,4.408339827736101e-220,,,
C(sector)[T.Real_Estate],Alt45,21,-98.20641718416138,2.2361190909431585e-43,,,
C(sector)[T.Technology],Alt45,21,266.0823822441386,3.615016969618496e+115,,,
C(sector)[T.Utilities],Alt45,21,-898.7763544862433,0.0,,,
C(asset_type)[T.Stock],Alt45,21,-201.380405622063,3.480174935737482e-88,,,
trades,Alt45,21,14.83282244915933,2765750.125183858,,,
Intercept,Alt46,20,-11.401412582399598,1.1179681462163685e-05,0.0,inf,0.9985783282654914
C(sector)[T.Consumer_Disc],Alt46,20,4.602303487624888,99.713740669296,0.0,inf,0.9997881920162978
C(sector)[T.Consumer_Staples],Alt46,20,-9.93718800649307,4.834305403377832e-05,0.0,inf,0.9987608853422678
C(sector)[T.Energy],Alt46,20,-8.889297729550586,0.00013785643649687605,0.0,inf,0.9988915521030958
C(sector)[T.Financials],Alt46,20,6.280523837866043,534.0683557903627,0.0,inf,0.9994820231401248
C(sector)[T.Healthcare],Alt46,20,6.620713509466086,750.4803809800604,0.0,inf,0.9993731101517467
C(sector)[T.Industrials],Alt46,20,6.444692694658537,629.3532436285544,0.0,inf,0.9994300196691602
C(sector)[T.Real_Estate],Alt46,20,-2.5975148502484298,0.07445838872456292,0.0,inf,0.9996761049871291
C(sector)[T.Technology],Alt46,20,7.381480001135767,1605.964839631161,0.0,inf,0.9998307188495932
C(sector)[T.Utilities],Alt46,20,-23.975335721622443,3.869403269837116e-11,0.0,inf,0.9970213186356826
C(asset_type)[T.Stock],Alt46,20,0.40814297976942765,1.5040221905433384,0.03175927108039807,71.22590263234811,0.8357266837429987
trades,Alt46,20,0.34439410148190364,1.4111346561953655,0.574839456177046,3.4640994046558755,0.45227878079462425
Intercept,Alt47,21,-550.9492979498986,5.318143991328067e-240,,,
C(sector)[T.Consumer_Disc],Alt47,21,507.226894666195,1.9312630279494216e+220,,,
C(sector)[T.Consumer_Staples],Alt47,21,-349.9778357129028,1.0152129791856494e-152,,,
C(sector)[T.Energy],Alt47,21,-278.00938353112014,1.8283478066606823e-121,,,
C(sector)[T.Financials],Alt47,21,-1209.0073841072044,0.0,,,
C(sector)[T.Healthcare],Alt47,21,611.765875715247,4.8589680103985504e+265,,,
C(sector)[T.Industrials],Alt47,21,699.0957843901155,4.106213083618574e+303,,,
C(sector)[T.Materials],Alt47,21,-660.1414653509851,2.0146718696782966e-287,,,
C(sector)[T.Real_Estate],Alt47,21,-65.15489830746745,5.053440959431634e-29,,,
C(sector)[T.Technology],Alt47,21,867.9074915284556,inf,,,
C(sector)[T.Utilities],Alt47,21,-1151.8605702178986,0.0,,,
C(asset_type)[T.Stock],Alt47,21,-21.72642957721594,3.667174053281321e-10,,,
trades,Alt47,21,11.95713513613772,155925.738266612,,,
Intercept,Alt9,21,-61.650212739649234,1.6813293683428148e-27,,,
C(sector)[T.Consumer_Disc],Alt9,21,63.290349586416326,3.066546701596491e+27,,,
C(sector)[T.Consumer_Staples],Alt9,21,8.403506362984412,4462.687147324873,,,
C(sector)[T.Energy],Alt9,21,-49.53318577129069,3.076172946609545e-22,,,
C(sector)[T.Financials],Alt9,21,-49.030479895247936,5.085493884880914e-22,,,
C(sector)[T.Healthcare],Alt9,21,63.91093145683027,5.703807566708141e+27,,,
C(sector)[T.Industrials],Alt9,21,8.479076039754219,4813.000820381259,,,
C(sector)[T.Materials],Alt9,21,33.44377996767274,334540802181156.06,,,
C(sector)[T.Real_Estate],Alt9,21,-49.965180184670906,1.9970914782036922e-22,,,
C(sector)[T.Technology],Alt9,21,-15.677533519839805,1.5535802889238368e-07,,,
C(sector)[T.Utilities],Alt9,21,-49.341616975703225,3.7257011792804363e-22,,,
C(asset_type)[T.Stock],Alt9,21,64.09490754147626,6.855902983772078e+27,,,
trades,Alt9,21,0.249676246266943,1.283609775951999,,,
Intercept,Baseline,20,-42.38356083911296,3.917900516392646e-19,,,
C(sector)[T.Consumer_Staples],Baseline,20,-46.377881352695304,7.21675640213927e-21,,,
C(sector)[T.Energy],Baseline,20,-38.49198240579033,1.919306984112692e-17,,,
C(sector)[T.Financials],Baseline,20,38.43111575760102,4.9025440766534904e+16,,,
C(sector)[T.Healthcare],Baseline,20,37.446553517975836,1.8316038981440332e+16,,,
C(sector)[T.Industrials],Baseline,20,36.90522345272628,1.0659452506630404e+16,,,
C(sector)[T.Materials],Baseline,20,0.739539126144206,2.0949697751714007,,,
C(sector)[T.Real_Estate],Baseline,20,-30.705479408796396,4.621465641112491e-14,,,
C(sector)[T.Technology],Baseline,20,45.127171899658315,3.967178484261203e+19,,,
C(sector)[T.Utilities],Baseline,20,-123.82134924970748,1.6790795762028e-54,,,
C(asset_type)[T.Stock],Baseline,20,100.15577629115762,3.141238950791902e+43,,,
trades,Baseline,20,0.8516094137480283,2.343415343452615,,,
