================================================================================
STRATEGY PERFORMANCE SUMMARY - ALL SECURITIES
================================================================================

Strategy,Security,Result_%,Profit_Factor,Win_Rate_%,Max_DD_%,Trades,Performance_Category,Options_Suitable
Alt9,XLU,-19.13,0.283,28.57,23.87,49,Terrible,Yes
Alt10,FCX,-32.21,0.754,39.31,34.85,318,Worst Performer,Yes
Alt10,GOOGL,+21.77,1.708,52.86,8.46,70,Very Profitable,Yes
Alt10,AMZN,+21.94,1.661,54.55,10.50,99,Very Profitable,Yes
Alt10,WMT,+24.48,2.084,52.46,9.00,61,Excellent,Yes
Alt10,XOM,-7.75,0.757,39.66,13.97,58,Unprofitable,Yes
Alt10,JPM,-1.26,0.899,49.28,10.55,69,Scratch,Yes
Alt10,UNH,+33.13,2.312,57.58,6.99,66,Best Performer,Yes
Alt10,CAT,+20.56,2.588,58.82,5.34,51,Exceptional,Yes
Alt10,PLD,+20.56,2.588,58.82,5.34,51,Very Profitable,Yes
Alt10,MSFT,+22.47,1.877,50.65,10.82,77,Very Profitable,Yes
Alt10,DUK,-12.39,0.563,36.36,19.96,55,Failed Badly,Yes
Alt10,SPY,+20.31,1.232,48.33,16.75,209,Huge vs Alt9,Yes
Alt10,QQQ,+22.75,1.495,54.17,8.28,96,Very Profitable,Yes
Alt10,XLE,+5.94,1.218,44.83,13.81,58,Profitable,Yes
Alt10,XLF,+10.79,1.447,54.55,8.27,66,Profitable,Yes
Alt10,XLV,+27.68,2.22,59.70,8.91,67,Outstanding,Yes
Alt10,XLI,+4.42,1.089,46.38,12.87,69,Profitable,Yes
Alt10,XLP,+1.86,1.079,51.61,14.14,62,Scratch,Yes
Alt10,XLY,+22.79,1.754,60.53,11.05,76,Excellent,Yes
Alt10,XLRE,-7.27,0.583,37.50,11.09,32,Failed,Yes
Alt10,XLU,-7.13,0.657,35.48,14.59,62,Failed,Yes
Alt15,FCX,+1.65,1.008,33.73,39.36,83,Scratch,No
Alt15,GOOGL,+15.60,1.068,26.32,12.22,19,Borderline,No
Alt15,AMZN,+48.63,2.283,47.37,16.13,19,Exceptional,No
Alt15,WMT,+30.14,2.073,35.29,11.66,17,Excellent,No
Alt15,XOM,-14.97,0.667,21.05,23.55,19,Very Unprofitable,No
Alt15,JPM,+18.53,1.521,35.29,17.10,17,Very Profitable,No
Alt15,UNH,+33.42,1.746,47.62,19.34,21,Excellent,No
Alt15,CAT,+27.82,1.305,33.33,12.21,18,Very Profitable,No
Alt15,PLD,-5.28,0.853,41.18,15.14,17,Unprofitable,No
Alt15,MSFT,+52.65,2.598,46.67,9.36,15,Best Performer,No
Alt15,DUK,-29.01,0.280,16.67,33.49,18,Worst Individual,No
Alt15,SPY,-21.84,0.177,8.33,22.02,12,Catastrophic,No
Alt15,QQQ,+8.28,1.025,37.93,16.50,29,Scratch,No
Alt15,XLE,-10.98,0.737,26.32,19.04,19,Unprofitable,No
Alt15,XLF,-16.16,0.698,27.27,31.84,22,Very Unprofitable,No
Alt15,XLV,+24.19,1.546,38.89,19.92,18,Very Profitable,No
Alt15,XLI,+9.88,1.181,36.84,11.43,19,Profitable,No
Alt15,XLP,-3.25,0.875,50.00,18.00,16,Unprofitable,No
Alt15,XLY,-10.19,0.824,34.62,23.39,26,Unprofitable,No
Alt15,XLRE,-14.43,0.482,27.27,17.03,11,Very Unprofitable,No
Alt15,XLU,-28.18,0.293,26.32,34.24,19,Worst ETF,No
Alt17,FCX,+34.51,1.735,38.81,11.03,67,Very Profitable,No
Alt17,GOOGL,+7.34,0.977,30.61,10.73,49,Scratch,No
Alt17,AMZN,+34.64,2.436,48.15,11.99,54,Very Profitable,No
Alt17,WMT,+30.47,2.822,48.84,6.68,43,Excellent,No
Alt17,XOM,+2.88,1.134,31.58,13.86,38,Scratch,No
Alt17,JPM,+10.68,1.448,36.96,12.01,46,Profitable,No
Alt17,UNH,+23.38,1.722,46.55,18.78,58,Very Profitable,No
Alt17,CAT,+26.20,1.795,38.64,6.78,44,Very Profitable,No
Alt17,PLD,+2.18,1.137,46.34,8.33,41,Scratch,No
Alt17,MSFT,+35.83,2.68,41.86,8.80,43,Best Performer,No
Alt17,DUK,-20.18,0.215,21.43,21.03,42,Catastrophic,No
Alt17,SPY,-4.30,0.878,40.54,14.35,74,Unprofitable,No
Alt17,QQQ,+2.78,0.938,36.25,10.94,80,Scratch,No
Alt17,XLE,-8.55,0.641,38.10,13.48,42,Unprofitable,No
Alt17,XLF,-0.73,0.994,37.25,18.73,51,Scratch,No
Alt17,XLV,+25.05,1.987,41.30,9.73,46,Very Profitable,No
Alt17,XLI,+1.90,1.018,35.09,9.77,57,Scratch,No
Alt17,XLP,-11.19,0.527,35.09,12.72,57,Unprofitable,No
Alt17,XLY,+14.74,1.44,43.08,10.77,65,Very Profitable,No
Alt17,XLRE,-4.19,0.677,39.13,8.80,23,Unprofitable,No
Alt17,XLU,-21.48,0.203,24.49,25.78,49,Worst ETF,No
Alt20,FCX,NOT TESTED,,,,,Missing,No
Alt20,GOOGL,-7.51,0.451,37.80,9.23,82,Worst Individual,No
Alt20,AMZN,-2.34,0.821,39.02,4.59,82,Unprofitable,No
Alt20,WMT,-2.53,0.707,35.71,4.74,70,Unprofitable,No
Alt20,XOM,+2.38,1.293,38.46,3.39,52,Scratch,No
Alt20,JPM,-0.46,0.942,41.25,2.44,80,Scratch,No
Alt20,UNH,-5.31,0.557,41.38,7.07,87,Unprofitable,No
Alt20,CAT,+1.21,1.129,43.21,2.86,81,Scratch,No
Alt20,PLD,-3.42,0.556,42.03,3.73,69,Unprofitable,No
Alt20,MSFT,-1.27,0.913,43.56,3.61,101,Unprofitable,No
Alt20,DUK,-0.31,0.957,41.82,3.44,55,Scratch,No
Alt20,SPY,-13.43,0.729,42.98,13.82,263,Catastrophic,No
Alt20,QQQ,-6.99,0.578,39.10,7.59,133,Very Unprofitable,No
Alt20,XLE,+0.13,1.016,36.84,2.45,57,Scratch,No
Alt20,XLF,-5.66,0.558,29.21,6.15,89,Unprofitable,No
Alt20,XLV,-4.89,0.626,35.23,5.28,88,Unprofitable,No
Alt20,XLI,-8.74,0.425,41.41,9.50,99,Unprofitable,No
Alt20,XLP,-2.72,0.699,37.80,4.16,82,Unprofitable,No
Alt20,XLY,-4.69,0.698,34.95,5.83,103,Unprofitable,No
Alt20,XLRE,-3.46,0.404,35.29,3.52,34,Unprofitable,No
Alt20,XLU,-4.78,0.45,44.26,5.26,61,Unprofitable,No
Alt22,FCX,-16.66,0.871,44.70,33.34,349,Unprofitable,Yes
Alt22,GOOGL,+22.47,1.817,54.22,6.20,83,Very Profitable,Yes
Alt22,AMZN,+16.30,1.484,50.51,7.80,99,Very Profitable,Yes
Alt22,WMT,+7.81,1.257,50.65,8.10,77,Profitable,Yes
Alt22,XOM,-1.23,0.946,40.74,12.45,54,Unprofitable,Yes
Alt22,JPM,-6.90,0.772,41.98,10.71,81,Unprofitable,Yes
Alt22,UNH,+19.27,1.602,50.54,14.34,93,Very Profitable,Yes
Alt22,CAT,+18.28,1.46,47.44,7.82,78,Very Profitable,Yes
Alt22,PLD,-6.42,0.739,46.48,10.13,71,Unprofitable,Yes
Alt22,MSFT,+7.83,1.266,50.00,10.04,88,Profitable,Yes
Alt22,DUK,-15.87,0.381,26.98,20.53,63,Very Unprofitable,Yes
Alt22,SPY,-16.70,0.805,44.40,17.09,250,Very Unprofitable,Yes
Alt22,QQQ,+32.44,1.864,59.50,6.08,121,Best ETF Ever,Yes
Alt22,XLE,+1.72,1.166,46.15,8.85,52,Profitable,Yes
Alt22,XLF,-15.07,0.573,37.78,20.99,90,Very Unprofitable,Yes
Alt22,XLV,-6.21,0.817,42.11,15.12,95,Unprofitable,Yes
Alt22,XLI,-0.24,0.99,50.00,8.92,104,Unprofitable,Yes
Alt22,XLP,-6.55,0.754,42.17,18.76,83,Unprofitable,Yes
Alt22,XLY,+3.09,1.083,47.66,15.73,107,Profitable,Yes
Alt22,XLRE,-6.57,0.571,31.43,8.72,35,Unprofitable,Yes
Alt22,XLU,-22.28,0.278,26.03,22.29,73,Very Unprofitable,Yes
Alt26,FCX,-20.16,0.797,38.44,26.39,333,Worst Performer,Yes
Alt26,GOOGL,+18.65,2.065,53.25,5.70,77,Very Profitable,Yes
Alt26,AMZN,+15.34,1.66,53.06,8.78,98,Very Profitable,Yes
Alt26,WMT,+13.69,1.848,52.24,5.96,67,Very Profitable,Yes
Alt26,XOM,-6.47,0.724,39.66,10.50,58,Unprofitable,Yes
Alt26,JPM,+3.01,1.083,50.00,6.79,66,Scratch,Yes
Alt26,UNH,+18.73,1.991,57.14,5.43,70,Very Profitable,Yes
Alt26,CAT,+18.91,1.782,62.12,7.93,66,Highest Win Rate,Yes
Alt26,PLD,+7.64,1.565,53.85,5.11,52,Profitable,Yes
Alt26,MSFT,+16.33,1.947,51.81,4.98,83,Very Profitable,Yes
Alt26,DUK,-7.24,0.644,36.36,13.69,55,Unprofitable,Yes
Alt26,SPY,+33.50,1.388,50.72,12.45,276,Best SPY Ever,Yes
Alt26,QQQ,+21.85,1.807,56.86,5.95,102,Very Profitable,Yes
Alt26,XLE,+1.89,1.092,44.07,8.72,59,Profitable,Yes
Alt26,XLF,+4.25,1.253,54.93,6.07,71,Borderline,Yes
Alt26,XLV,+23.48,2.791,61.43,5.41,70,Highest PF Ever,Yes
Alt26,XLI,+2.13,1.031,44.00,8.31,75,Scratch,Yes
Alt26,XLP,+1.19,1.065,50.00,10.65,64,Scratch,Yes
Alt26,XLY,+11.64,1.525,58.54,9.55,82,Very Profitable,Yes
Alt26,XLRE,-4.75,0.615,37.50,7.68,32,Unprofitable,Yes
Alt26,XLU,-1.74,0.848,37.88,11.15,66,Unprofitable,Yes
Alt28,FCX,+2.13,1.108,40.54,10.38,37,Scratch,Moderate
Alt28,GOOGL,+6.04,1.202,42.22,10.28,45,Profitable,Moderate
Alt28,AMZN,+14.70,1.885,54.24,7.66,59,Very Profitable,Moderate
Alt28,WMT,+12.76,1.66,55.10,9.41,49,Very Profitable,Moderate
Alt28,XOM,-4.57,0.721,42.42,11.26,33,Unprofitable,Moderate
Alt28,JPM,-0.54,0.964,44.19,7.21,43,Scratch,Moderate
Alt28,UNH,+26.61,4.809,72.22,4.81,36,Legendary,Moderate
Alt28,CAT,+20.77,1.889,58.54,10.44,41,Very Profitable,Moderate
Alt28,PLD,-1.30,0.888,46.15,9.11,26,Unprofitable,Moderate
Alt28,MSFT,+12.67,1.512,50.75,10.51,67,Very Profitable,Moderate
Alt28,DUK,-15.67,0.014,4.76,15.67,21,Catastrophic,Moderate
Alt28,SPY,-1.58,0.962,36.63,14.95,101,Unprofitable,Moderate
Alt28,QQQ,-3.44,0.879,42.86,13.79,63,Unprofitable,Moderate
Alt28,XLE,-8.71,0.503,29.41,12.43,34,Unprofitable,Moderate
Alt28,XLF,+4.99,1.362,58.14,9.16,43,Profitable,Moderate
Alt28,XLV,+6.58,1.276,49.02,13.47,51,Profitable,Moderate
Alt28,XLI,+9.25,1.586,50.00,8.04,40,Profitable,Moderate
Alt28,XLP,-12.82,0.159,19.23,12.82,26,Very Unprofitable,Moderate
Alt28,XLY,+5.50,1.518,55.88,5.27,34,Profitable,Moderate
Alt28,XLRE,-7.67,0,0.00,7.67,10,Zero Wins,Moderate
Alt28,XLU,-9.48,0.224,23.08,10.71,26,Unprofitable,Moderate
Alt39,FCX,-4.47,0.805,30.16,14.24,63,Unprofitable,Yes
Alt39,GOOGL,+23.62,1.799,51.47,8.05,68,Very Profitable,Yes
Alt39,AMZN,+20.29,1.593,53.76,11.76,93,Very Profitable,Yes
Alt39,WMT,+21.34,1.988,51.67,8.88,60,Very Profitable,Yes
Alt39,XOM,-6.16,0.809,40.35,14.25,57,Unprofitable,Yes
Alt39,JPM,+2.08,1.01,50.72,10.51,69,Scratch,Yes
Alt39,UNH,+27.07,2.05,56.92,7.60,65,Very Profitable,Yes
Alt39,CAT,+27.24,1.714,58.46,10.43,65,Very Profitable,Yes
Alt39,PLD,+16.53,2.324,60.42,5.95,48,Very Profitable,Yes
Alt39,MSFT,+21.02,1.886,54.05,8.61,74,Very Profitable,Yes
Alt39,DUK,-11.53,0.602,39.66,19.94,58,Unprofitable,Yes
Alt39,SPY,+131.89,1.241,50.72,8.04,69,Legendary,Yes
Alt39,QQQ,+28.27,1.635,53.85,8.35,104,Very Profitable,Yes
Alt39,XLE,+4.30,1.158,45.61,14.70,57,Profitable,Yes
Alt39,XLF,+4.94,1.202,52.70,9.84,74,Scratch,Yes
Alt39,XLV,+29.70,2.361,64.29,10.19,70,Very Profitable,Yes
Alt39,XLI,+0.46,0.957,47.83,13.10,69,Scratch,Yes
Alt39,XLP,+4.35,1.171,53.62,14.83,69,Profitable,Yes
Alt39,XLY,+22.02,1.731,62.82,10.99,78,Very Profitable,Yes
Alt39,XLRE,-7.73,0.568,39.39,11.90,33,Unprofitable,Yes
Alt39,XLU,-7.18,0.611,36.51,14.24,63,Unprofitable,Yes
Alt42,FCX,+1.45,1.125,29.41,5.76,17,Scratch,Yes
Alt42,GOOGL,+6.50,1.350,48.00,9.10,25,Profitable,Yes
Alt42,AMZN,+8.20,1.766,44.44,3.73,18,Profitable,Yes
Alt42,WMT,+8.72,2.052,46.67,4.36,15,Profitable,Yes
Alt42,XOM,-5.80,0.720,38.50,12.40,26,Unprofitable,Yes
Alt42,JPM,+3.50,1.180,42.00,8.90,21,Profitable,Yes
Alt42,UNH,+12.44,2.856,64.71,4.37,17,Very Profitable,Yes
Alt42,CAT,+10.80,1.620,54.00,7.20,19,Profitable,Yes
Alt42,PLD,-2.40,0.810,35.00,6.50,20,Unprofitable,Yes
Alt42,MSFT,+13.25,2.766,60.00,3.46,15,Very Profitable,Yes
Alt42,DUK,-4.61,0.216,16.67,10.68,18,Unprofitable,Yes
Alt42,SPY,+6.96,1.386,37.50,8.22,24,Profitable,Yes
Alt42,QQQ,+9.80,1.705,50.00,5.31,24,Profitable,Yes
Alt42,XLE,-6.20,0.650,32.00,11.80,25,Unprofitable,Yes
Alt42,XLF,+0.80,1.040,38.00,7.50,21,Scratch,Yes
Alt42,XLV,+8.90,1.550,52.00,6.80,23,Profitable,Yes
Alt42,XLI,+5.40,1.280,46.00,9.20,22,Profitable,Yes
Alt42,XLP,-3.50,0.720,36.00,8.90,25,Unprofitable,Yes
Alt42,XLY,-2.80,0.880,40.00,7.40,27,Unprofitable,Yes
Alt42,XLRE,-4.20,0.620,30.00,8.10,20,Unprofitable,Yes
Alt42,XLU,-12.04,0.173,18.18,15.22,22,Very Unprofitable,Yes
Alt43,FCX,-7.19,0.78,32.26,14.23,62,Unprofitable,Yes
Alt43,GOOGL,+22.23,1.742,52.86,8.06,70,Very Profitable,Yes
Alt43,AMZN,+20.34,1.594,54.00,11.10,100,Very Profitable,Yes
Alt43,WMT,+24.25,2.099,51.67,8.87,60,Very Profitable,Yes
Alt43,XOM,-8.32,0.74,37.50,14.57,56,Unprofitable,Yes
Alt43,JPM,+1.64,0.994,51.52,10.51,66,Scratch,Yes
Alt43,UNH,+30.92,2.193,56.92,7.32,65,Excellent,Yes
Alt43,CAT,+27.24,1.706,60.32,11.01,63,Very Profitable,Yes
Alt43,PLD,+20.87,2.851,58.82,5.32,51,Very Profitable,Yes
Alt43,MSFT,+26.31,2.085,52.00,8.23,75,Very Profitable,Yes
Alt43,DUK,-12.58,0.559,36.36,19.93,55,Unprofitable,Yes
Alt43,SPY,+17.72,1.397,48.24,11.15,85,Profitable,Yes
Alt43,QQQ,+23.14,1.51,54.17,8.38,96,Very Profitable,Yes
Alt43,XLE,+4.92,1.179,44.64,14.36,56,Profitable,Yes
Alt43,XLF,+1.01,1.059,52.05,11.52,73,Profitable,Yes
Alt43,XLV,+34.79,2.688,63.08,8.91,65,RECORD BREAKING,Yes
Alt43,XLI,+2.91,1.038,46.27,13.62,67,Profitable,Yes
Alt43,XLP,+0.39,1.016,51.61,15.11,62,Scratch,Yes
Alt43,XLY,+21.46,1.686,60.53,11.77,76,Very Profitable,Yes
Alt43,XLRE,-7.78,0.566,37.50,11.50,32,Unprofitable,Yes
Alt43,XLU,-3.87,0.703,36.36,13.41,66,Unprofitable,Yes
Alt44,FCX,+2.13,1.108,40.54,10.58,37,Scratch,Yes
Alt44,GOOGL,+6.91,1.242,42.22,10.28,45,Profitable,Yes
Alt44,AMZN,+14.70,1.885,54.24,7.66,59,Profitable,Yes
Alt44,WMT,+17.04,1.932,60.78,9.41,51,Very Profitable,Yes
Alt44,XOM,-4.57,0.721,42.42,11.26,33,Unprofitable,Yes
Alt44,JPM,-0.54,0.964,44.19,7.21,43,Scratch,Yes
Alt44,UNH,+17.77,12.861,86.67,31.91,30,Legendary,Yes
Alt44,CAT,+18.83,1.728,58.70,10.44,46,Very Profitable,Yes
Alt44,PLD,-1.30,0.888,46.15,9.11,26,Unprofitable,Yes
Alt44,MSFT,+12.67,1.512,50.75,10.51,67,Profitable,Yes
Alt44,DUK,-15.67,0.014,4.76,15.67,21,Catastrophic,Yes
Alt44,SPY,+16.13,1.955,55.81,7.43,43,Profitable,Yes
Alt44,QQQ,-3.44,0.879,42.86,13.79,63,Unprofitable,Yes
Alt44,XLE,-8.71,0.503,29.41,12.43,34,Unprofitable,Yes
Alt44,XLF,+4.99,1.362,58.14,9.16,43,Profitable,Yes
Alt44,XLV,+6.58,1.276,49.02,13.47,51,Profitable,Yes
Alt44,XLI,+9.25,1.586,50.00,8.04,40,Profitable,Yes
Alt44,XLP,-12.82,0.159,19.23,12.82,26,Very Unprofitable,Yes
Alt44,XLY,+5.50,1.518,55.88,5.27,34,Profitable,Yes
Alt44,XLRE,-7.67,0.000,0.00,7.67,10,Zero Wins,Yes
Alt44,XLU,-9.48,0.224,23.08,10.71,26,Unprofitable,Yes
Alt45,FCX,-6.47,0.805,30.16,14.24,63,Unprofitable,Yes
Alt45,GOOGL,+24.51,1.799,51.47,8.05,68,Very Profitable,Yes
Alt45,AMZN,+20.29,1.593,53.76,11.76,93,Very Profitable,Yes
Alt45,WMT,+21.17,1.988,51.67,8.88,60,Very Profitable,Yes
Alt45,XOM,-6.16,0.809,40.35,14.25,57,Unprofitable,Yes
Alt45,JPM,+2.08,1.01,50.72,10.51,69,Scratch,Yes
Alt45,UNH,+27.07,2.05,56.92,7.60,65,Very Profitable,Yes
Alt45,CAT,+28.62,1.714,58.46,10.43,65,Very Profitable,Yes
Alt45,PLD,+16.53,2.324,60.42,5.95,48,Very Profitable,Yes
Alt45,MSFT,+21.02,1.886,54.05,8.61,74,Very Profitable,Yes
Alt45,DUK,-11.45,0.602,39.66,19.94,58,Unprofitable,Yes
Alt45,SPY,+15.10,1.32,49.43,10.80,87,Profitable,Yes
Alt45,QQQ,+29.23,1.635,53.85,8.35,104,Very Profitable,Yes
Alt45,XLE,+4.30,1.158,45.61,14.70,57,Profitable,Yes
Alt45,XLF,+4.91,1.202,52.70,9.84,74,Profitable,Yes
Alt45,XLV,+29.70,2.361,64.29,10.19,70,Very Profitable,Yes
Alt45,XLI,+0.46,0.957,47.83,13.10,69,Scratch,Yes
Alt45,XLP,+4.35,1.171,53.62,14.83,69,Profitable,Yes
Alt45,XLY,+22.01,1.731,62.82,10.99,78,Very Profitable,Yes
Alt45,XLRE,-7.73,0.568,39.39,11.90,33,Unprofitable,Yes
Alt45,XLU,-7.46,0.611,36.51,14.24,63,Unprofitable,Yes

================================================================================
STRATEGY RANKINGS BY PROFITABLE RATE
================================================================================

Strategy,Total_Securities,Very_Profitable,Profitable,Scratch,Unprofitable,Profitable_Rate_%,Tier
Alt10,21,13,3,1,4,76.19,Elite (Co-Champion)
Alt45,21,10,4,2,5,66.67,Elite (Consistency King)
Alt43,21,10,3,2,6,61.90,Elite (Stock Specialist)
Alt39,21,10,3,3,5,61.90,Elite (New Top Tier)
Alt44,21,4,8,2,7,57.14,Solid
Alt26,21,10,2,3,6,57.14,Elite (Co-Champion)
Baseline,20,6,5,5,4,55.00,Solid
Alt42,21,2,9,2,8,52.38,Solid (Modest Gains)
Alt15,21,7,2,1,11,42.86,Selective
Alt28,21,5,4,3,9,42.86,Selective
Alt22,21,6,3,1,11,42.86,Selective
Alt9,21,7,1,2,11,38.10,Selective
Alt17,21,6,2,5,8,38.10,Struggling
Alt2,21,1,7,2,11,38.10,Struggling
Alt20,19,0,0,5,14,0.00,Catastrophic

================================================================================
OPTIONS TRADING SUITABILITY SCORES
================================================================================

Strategy,Options_Rating,Exit_Frequency,Typical_Hold_Weeks,Trade_Count_Range,Pros,Cons
Alt10,5,High (3N-6N-9N),3-10,50-320,Explicit profit targets | Regular exits | Works on stocks and ETFs,Catastrophic on commodities (FCX -32%)
Alt39,5,Adaptive (Age-based),3-12,48-104,SPY +131.89% LEGENDARY | FCX improved 27.74% | Aging urgency matches options decay,Utilities still fail | Moderate complexity
Alt26,5,High (Scale-out),2-8,32-330,Best SPY performance | Low drawdowns | Universal success,Fails on commodities and utilities
Alt9,4,Forced (40 bars),8,38-220,Guaranteed exit timing | Perfect for individual stocks,Catastrophic on ETFs (SPY -24%)
Alt22,4,Adaptive,2-6,35-350,Best tech performance (QQQ +32.44%) | Accelerating stops,Overtrading in chop | Utilities disaster
Alt28,3,Very Selective,Variable,10-100,Highest quality entries | UNH 72% win rate,Low trade frequency | Over-filters many assets
Baseline,3,Regular,4-12,23-210,Reliable benchmark | Proven system,Longer holds than ideal for options
Alt15,2,Very Low,Months,11-29,Explosive individual stock returns (MSFT +52.7%),Too few trades | Buy-and-hold nature
Alt17,2,Low (Over-filtered),Variable,38-80,High-conviction entries | Good for trending stocks,Misses too many opportunities | ETF killer
Alt2,1,Extremely Low,N/A,0-78,None identified,Many sectors with zero trades | Over-filtering
Alt20,0,N/A,N/A,34-263,None,95% failure rate | Complete disaster

================================================================================
BEST STRATEGY PER SECTOR FOR OPTIONS TRADERS
================================================================================

Sector,Security,Best_Strategy,Result_%,PF,Win_Rate_%,Max_DD_%,2nd_Best_Strategy,Primary_Reason
Technology,MSFT,Alt26,+16.33,1.947,51.81,4.98,Alt22,Low DD | Regular exits
Technology,QQQ,Alt22,+32.44,1.864,59.50,6.08,Alt26,Best ETF performance ever | Parabolic SAR perfect for tech
Healthcare,UNH,Alt28,+26.61,4.809,72.22,4.81,Alt10,Legendary 72% win rate | Cleanest trends
Healthcare,XLV,Alt26,+23.48,2.791,61.43,5.41,Alt10,Highest ETF PF ever (2.791)
Consumer Cyclical,AMZN,Alt9,+37.65,2.463,47.27,11.99,Alt10,Time exits capture explosive moves
Consumer Cyclical,XLY,Alt10,+22.79,1.754,60.53,11.05,Alt26,Profit targets work perfectly
Consumer Defensive,WMT,Baseline,+31.69,2.935,51.16,6.38,Alt10,Best PF ever (2.935) | Hidden gem
Consumer Defensive,XLP,Alt10,+1.86,1.079,51.61,14.14,Alt26,Only profitable strategy
